"ordinal","ref","unit_of_issue","ats_section","ats_hours","mts_section","mts_hours","lifecycle_status","coverage_class","engine_family","classification_basis","discovery_tag"
"045","Current Transformer - Bushing, HV/MV (Set)","set","7.14","6","7.14","6","active","recognized_scope_pending_candidate","instrument_transformer","ITX_REFS",""
"046","Current Transformer LV - Set of 3","each","7.15","2","7.15","2.5","active","recognized_scope_pending_candidate","instrument_transformer","ITX_REFS",""
"047","Current Transformer MV - Set of 3","each","7.14","2","7.14","2.5","active","recognized_scope_pending_candidate","instrument_transformer","ITX_REFS",""
"048","Direct-Current Systems - Batteries","each","7.18","8","7.18","8","active","catalog_only_unmapped","","CATALOG_ONLY",""
"049","Direct-Current Systems - Chargers","each","7.18","2","7.18","2","active","catalog_only_unmapped","","CATALOG_ONLY",""
"050","Distribution Board - Low Voltage","each","7.1","3","7.1","3","active","catalog_only_unmapped","","CATALOG_ONLY",""
"051","Generator - Rotating Machinary (IR/PI)","each","7.13","6","7.13","6","active","catalog_only_unmapped","","CATALOG_ONLY",""
"052","Ground Fault Protection Device LV","each","7.14","4","7.14","4","active","recognized_scope_pending_candidate","gfp","GFP_REF",""
"053","Ground Resistance Test -  Two-Point (Individual)","each","7.13","0.25","7.13","0.25","active","catalog_only_unmapped","","CATALOG_ONLY",""
"054","Ground Resistance Test -  Two-Point (Lot)","each","7.13","4","7.13","16","active","catalog_only_unmapped","","CATALOG_ONLY",""
"055","Ground Resistance Test - Clamp Method","each","7.13","4","7.13","4","active","catalog_only_unmapped","","CATALOG_ONLY",""
"056","Ground Resistance Test - FOP (Large Scale)","each","7.13","12","7.13","12","active","catalog_only_unmapped","","CATALOG_ONLY",""
"057","Ground Resistance Test - FOP (Substation)","each","7.13","12","7.13","12","active","catalog_only_unmapped","","CATALOG_ONLY",""
"058","Ground Resistance Test - FOP or Clamp Method","each","7.13","6","7.13","6","active","catalog_only_unmapped","","CATALOG_ONLY",""
"059","Infrared Scan - ATS","each","IR","0.5","IR","0.5","active","catalog_only_unmapped","","CATALOG_ONLY",""
"060","Infrared Scan - Distribution Board","each","IR","1","IR","1","active","catalog_only_unmapped","","CATALOG_ONLY",""
"061","Infrared Scan - Panelboard","each","IR","0.5","IR","0.5","active","catalog_only_unmapped","","CATALOG_ONLY",""
"062","Infrared Scan - Switchboard","each","IR","1","IR","1","active","catalog_only_unmapped","","CATALOG_ONLY",""
"063","Infrared Scan - Transformer","each","IR","0.5","IR","0.5","active","catalog_only_unmapped","","CATALOG_ONLY",""
"064","LOT, Circuit Checks (Bays)","each","CKT","25","CKT","25","active","catalog_only_unmapped","","CATALOG_ONLY",""
"065","LOT, Circuit Checks (SS-MV)","each","CKT","12","CKT","12","active","catalog_only_unmapped","","CATALOG_ONLY",""
"066","LOT, Functional Testing (Bays)","each","FUNCT","15","FUNCT","15","active","catalog_only_unmapped","","CATALOG_ONLY",""
"067","LOT, Functional Testing (SS-MV)","each","FUNCT","8","FUNCT","8","active","catalog_only_unmapped","","CATALOG_ONLY",""
"068","Manual Transfer Switch - (IR/DLRO)","each","7.22","2","7.22","3","active","recognized_scope_pending_candidate","transfer_switch","TRANSFER_REFS",""
"069","Meter - Electromechanical (Single Element)","each","7.11","1","7.11","1.5","active","discovery_only_unmapped","","METER_PQM_DISCOVERY","meter_pqm"
"070","Meter - PQM/Microprocessor Based","each","7.11","2.5","7.11","3","active","discovery_only_unmapped","","METER_PQM_DISCOVERY","meter_pqm"
"071","Misc Labor - One Tech Day","each","NA","8","NA","8","active","catalog_only_unmapped","","CATALOG_ONLY",""
"072","Misc Service - One Tech Day","each","NA","8","NA","8","active","catalog_only_unmapped","","CATALOG_ONLY",""
"073","Misc Testing - One Tech Day","each","NA","8","NA","8","active","catalog_only_unmapped","","CATALOG_ONLY",""
"074","Motor - Low Voltage","each","7.15","2","7.15","3","active","catalog_only_unmapped","","CATALOG_ONLY",""
"075","Motor - Medium Voltage","each","7.15","3","7.15","4","active","catalog_only_unmapped","","CATALOG_ONLY",""
"076","Motor Control Center LV","each","7.16","4","7.16","6","active","catalog_only_unmapped","","CATALOG_ONLY",""
"077","Motor Control Center MV","each","7.16","6","7.16","8","active","catalog_only_unmapped","","CATALOG_ONLY",""
"078","Motor Starter (Contactor) MV","each","7.16","4","7.16","6","active","catalog_only_unmapped","","CATALOG_ONLY",""
"079","Motor Starter LV","each","7.16","2","7.16","3","active","catalog_only_unmapped","","CATALOG_ONLY",""
"080","Neutral Grounding Resistor","each","7.2","3","7.2","4","active","catalog_only_unmapped","","CATALOG_ONLY",""
"081","Panelboard - Low Voltage","each","7.1","0.75","7.1","1","active","catalog_only_unmapped","","CATALOG_ONLY",""
"082","PDU (Power Distribution Unit)","each","7.5","2","7.5","2","active","catalog_only_unmapped","","CATALOG_ONLY",""
"083","Potential Transformer - MV","each","7.1","3","7.1","3","active","recognized_scope_pending_candidate","instrument_transformer","ITX_REFS",""
"084","Potential Transformer - MV Set","each","7.1","3","7.1","3","active","recognized_scope_pending_candidate","instrument_transformer","ITX_REFS",""
"085","Potential Transformer (set)","each","7.1","2","7.1","2","active","recognized_scope_pending_candidate","instrument_transformer","ITX_REFS",""
"086","Protective Relay - (Bus Differential)","each","7.9","6","7.9","8","active","recognized_scope_pending_candidate","relay","RELAY_TIERS",""
"087","Protective Relay - (Line Protection)","each","7.9","8","7.9","10","active","recognized_scope_pending_candidate","relay","RELAY_TIERS",""
"088","Protective Relay (Differential Protection)","each","7.9","6","7.9","8","active","recognized_scope_pending_candidate","relay","RELAY_TIERS",""
"089","Protective Relay (Electromechanical)","each","7.9","1","7.9","1.5","active","recognized_scope_pending_candidate","relay","RELAY_TIERS",""
"090","Protective Relay (Feeder Protection)","each","7.9","4","7.9","5","active","recognized_scope_pending_candidate","relay","RELAY_TIERS",""
"091","Protective Relay (Generator Protection)","each","7.9","8","7.9","10","active","recognized_scope_pending_candidate","relay","RELAY_TIERS",""
"092","Protective Relay (Motor Control)","each","7.9","6","7.9","8","active","recognized_scope_pending_candidate","relay","RELAY_TIERS",""
"093","Protective Relay (Multi-function w Meter)","each","7.9","8","7.9","10","active","recognized_scope_pending_candidate","relay","RELAY_TIERS","meter_pqm_overlap_guard"
"094","Protective Relay (Overcurrent Protection)","each","7.9","4","7.9","5","active","recognized_scope_pending_candidate","relay","RELAY_TIERS",""
"095","Resistor (IR/DLRO)","each","7.2","1.5","7.2","2.5","active","catalog_only_unmapped","","CATALOG_ONLY",""
"096","RPP (Remote Power Panel)","each","7.1","2","7.1","2","active","catalog_only_unmapped","","CATALOG_ONLY",""
"097","Switch (Pad Mount Vista) - Medium Voltage","each","7.5","6","7.5","8","active","recognized_scope_pending_candidate","switch_disconnect","SWITCH_REFS",""
"098","Switch (SF6) - Medium Voltage","each","7.5","6","7.5","8","active","recognized_scope_pending_candidate","switch_disconnect","SWITCH_REFS",""
"099","Switch HV - Motor Operated","each","7.5","6","7.5","6","active","recognized_scope_pending_candidate","switch_disconnect","SWITCH_REFS",""
"100","Switch HV - Open","each","7.5","4","7.5","8","active","recognized_scope_pending_candidate","switch_disconnect","SWITCH_REFS",""
"101","Switch LV - Fused Disconnect","each","7.5","1","7.5","1.5","active","recognized_scope_pending_candidate","switch_disconnect","SWITCH_REFS",""
"102","Switch LV - Fused Disconnect (Open)","each","7.5","2","7.5","3","active","recognized_scope_pending_candidate","switch_disconnect","SWITCH_REFS",""
"103","Switch MV - Cutout","each","7.5","2","7.5","4","active","recognized_scope_pending_candidate","switch_disconnect","SWITCH_REFS",""
"104","Switch MV - Fused Disconnect","each","7.5","2.5","7.5","3","active","recognized_scope_pending_candidate","switch_disconnect","SWITCH_REFS",""
"105","Switch MV - Motor Operated","each","7.5","6","7.5","6","active","recognized_scope_pending_candidate","switch_disconnect","SWITCH_REFS",""
"106","Switch MV - Oil Insulated","each","7.5","6","7.5","8","active","recognized_scope_pending_candidate","switch_disconnect","SWITCH_REFS",""
"107","Switch MV - Open","each","7.5","4","7.5","6","active","recognized_scope_pending_candidate","switch_disconnect","SWITCH_REFS",""
"108","Switchboard - Distribution LV","each","7.1","3","7.1","6","active","catalog_only_unmapped","","CATALOG_ONLY",""
"109","Switchboard - Low Voltage","each","7.1","4","7.1","6","active","catalog_only_unmapped","","CATALOG_ONLY",""
"110","Switchgear - Medium Voltage","each","7.1","6","7.1","10","active","catalog_only_unmapped","","CATALOG_ONLY",""
"111","Transformer - Dry Type (TTR/IR)","each","7.2","1.25","7.2","2","active","recognized_scope_pending_candidate","transformer","DRY_GROUP",""
"112","Transformer - Dry Type (TTR/IR/WR/PF)","each","7.2","8","7.2","10","active","recognized_scope_pending_candidate","transformer","DRY_GROUP",""
"113","Transformer - Dry Type (TTR/WR/IR)","each","7.2","3","7.2","4","active","recognized_scope_pending_candidate","transformer","DRY_GROUP",""
"114","Transformer - Oil Sample Draw","each","7.2","1","7.2","2","active","catalog_only_unmapped","","CATALOG_ONLY",""
"115","Transformer - Pad Mount Oil (TTR/IR/WR/PF/Oil)","each","7.2","12","7.2","14","active","recognized_scope_pending_candidate","transformer","OIL_GROUP",""
"116","Transformer - Pad Mount Oil (TTR/WR/IR)","each","7.2","4","7.2","5","active","recognized_scope_pending_candidate","transformer","OIL_GROUP",""
"117","Transformer - Power HV/MV w/ LTC","each","7.2","80","7.2","80","active","catalog_only_unmapped","","CATALOG_ONLY",""
"118","Transformer Tap Changer","each","7.12","8","7.12","10","active","catalog_only_unmapped","","CATALOG_ONLY",""
"119","Vaccum Frequency Interrupter","each","7.6","3","7.6","4","active","catalog_only_unmapped","","CATALOG_ONLY",""
"120","VFD - Adustable Speed Drives","each","7.17","8","7.17","8","active","catalog_only_unmapped","","CATALOG_ONLY",""
