"P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30","P31","P32","P33","P34","P35","P36","P37","P38","P39","P40","P41","P42","P43","P44","P45","P46","P47","P48","P49","P50","P51","P52"
"IPS","ATS","1.4.4","Overcurrent CT's","Instrument Transformers","","","","Swapped with Differential CTs.","MINOR DEFICIENCY","False","45994","Swapped with Differential CTs.","1","","2","0","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","330","0.1","16.5","0","0","0","0","0","0","0.1","16.5","0","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",,,,,
"IPS","ATS","1.4.5","Overcurrent CT's","Instrument Transformers","","","","Print issue on CT 4/5/6. See red lines","ACCEPTABLE","False","45994","Print issue on CT 4/5/6. See red lines","1","2","2","0","4","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","330","0.1","16.5","0","0","0","0","0","0","0.1","16.5","0","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",,,,,
"IPS","ATS","1.4.6","Overcurrent CT's","Instrument Transformers","","","","Need islet crimps to switch core marker on CT side","ACCEPTABLE","False","45994","Need islet crimps to switch core marker on CT side","1","","2","0","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","330","0.1","16.5","0","0","0","0","0","0","0.1","16.5","0","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",,,,,
"IPS","ATS","1.5.1","Bus Differential CT's","Instrument Transformers","","","","","ACCEPTABLE","False","45994","","1","","2","0","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","330","0.1","16.5","0","0","0","0","0","0","0.1","16.5","0","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",,,,,
"IPS","ATS","1.5.2","Bus Differential CT's","Instrument Transformers","","","","","ACCEPTABLE","False","45994","","1","","2","0","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","330","0.1","16.5","0","0","0","0","0","0","0.1","16.5","0","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",,,,,
"IPS","ATS","1.5.3","Bus Differential CT's","Instrument Transformers","","","","","ACCEPTABLE","False","45994","","1","","2","0","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","330","0.1","16.5","0","0","0","0","0","0","0.1","16.5","0","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",,,,,
"IPS","ATS","1.5.4","Bus Differential CT's","Instrument Transformers","","","","X1 & X2 need are swapped. Swapped with Protection CTs. ","ACCEPTABLE","False","45994","X1 & X2 need are swapped. Swapped with Protection CTs. ","1","2","2","0","4","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","330","0.1","16.5","0","0","0","0","0","0","0.1","16.5","0","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",,,,,
"IPS","ATS","1.5.5","Bus Differential CT's","Instrument Transformers","","","","","","False","45994","","1","","2","0","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","330","0.1","16.5","0","0","0","0","0","0","0.1","16.5","0","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",,,,,
"IPS","ATS","1.5.6","Bus Differential CT's","Instrument Transformers","","","","","","False","45994","","1","","2","0","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","330","0.1","16.5","0","0","0","0","0","0","0.1","16.5","0","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",,,,,
"IPS","ATS","1.6.1","Zero Sequence CT's","Instrument Transformers","","","","","ACCEPTABLE","False","","","1","","0.75","0","0.75","COMPLETED","READY","","6","165","61025.625","1","1","","","123.75","0.0375","6.1875","0","0","0","0","0","0","0.0375","6.1875","0","1.01123595505618","0.075","12.375","1.01123595505618","137.136235955056","137.136235955056","137.136235955056",,,,,
"IPS","ATS","1.6.2","Zero Sequence CT's","Instrument Transformers","","","","","ACCEPTABLE","False","","","1","","0.75","0","0.75","COMPLETED","READY","","6","165","61025.625","1","1","","","123.75","0.0375","6.1875","0","0","0","0","0","0","0.0375","6.1875","0","1.01123595505618","0.075","12.375","1.01123595505618","137.136235955056","137.136235955056","137.136235955056",,,,,
"IPS","ATS","1.6.3","Zero Sequence CT's","Instrument Transformers","","","","","ACCEPTABLE","False","","","1","","0.75","0","0.75","COMPLETED","READY","","6","165","61025.625","1","1","","","123.75","0.0375","6.1875","0","0","0","0","0","0","0.0375","6.1875","0","1.01123595505618","0.075","12.375","1.01123595505618","137.136235955056","137.136235955056","137.136235955056",,,,,
"IPS","ATS","1.6.4","Zero Sequence CT's","Instrument Transformers","","","","Could not test. Impedance too low. Replacement from mfg.","NON-SERVICEABLE","False","45994","Could not test. Impedance too low. Replacement from mfg.","1","","0.75","0","0.75","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","123.75","0.0375","6.1875","0","0","0","0","0","0","0.0375","6.1875","0","1.01123595505618","0.075","12.375","1.01123595505618","137.136235955056","137.136235955056","137.136235955056",,,,,
"IPS","ATS","1.6.5","Zero Sequence CT's","Instrument Transformers","","","","X1 and X2 wires were switched. Swap wires and red line drawings.","MINOR DEFICIENCY","False","45994","X1 and X2 wires were switched. Swap wires and red line drawings.","1","","0.75","0","0.75","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","123.75","0.0375","6.1875","0","0","0","0","0","0","0.0375","6.1875","0","1.01123595505618","0.075","12.375","1.01123595505618","137.136235955056","137.136235955056","137.136235955056",,,,,
"IPS","ATS","1.6.6","Zero Sequence CT's","Instrument Transformers","","","","X1 and X2 need to be swapped and relabled at CT.","MINOR DEFICIENCY","False","45994","X1 and X2 need to be swapped and relabled at CT.","1","","0.75","0","0.75","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","123.75","0.0375","6.1875","0","0","0","0","0","0","0.0375","6.1875","0","1.01123595505618","0.075","12.375","1.01123595505618","137.136235955056","137.136235955056","137.136235955056",,,,,
"IPS","ATS","1.7.1","Vacuum Breakers","Circuit Breaker","","","","","ACCEPTABLE","False","45994","","1","","4","0","4","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","660","0.2","33","0","0","0","0","0","0","0.2","33","0","5.39325842696629","0.4","66","5.39325842696629","731.393258426966","731.393258426966","731.393258426966",,,,,
"IPS","ATS","1.7.2","Vacuum Breakers","Circuit Breaker","","","","","ACCEPTABLE","False","45994","","1","","4","0","4","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","660","0.2","33","0","0","0","0","0","0","0.2","33","0","5.39325842696629","0.4","66","5.39325842696629","731.393258426966","731.393258426966","731.393258426966",,,,,
"IPS","ATS","1.7.3","Vacuum Breakers","Circuit Breaker","","","","","ACCEPTABLE","False","45994","","1","","4","0","4","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","660","0.2","33","0","0","0","0","0","0","0.2","33","0","5.39325842696629","0.4","66","5.39325842696629","731.393258426966","731.393258426966","731.393258426966",,,,,
"IPS","ATS","1.7.4","Vacuum Breakers","Circuit Breaker","","","","","ACCEPTABLE","False","45994","","1","","4","0","4","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","660","0.2","33","0","0","0","0","0","0","0.2","33","0","5.39325842696629","0.4","66","5.39325842696629","731.393258426966","731.393258426966","731.393258426966",,,,,
"IPS","ATS","1.7.5","Vacuum Breakers","Circuit Breaker","","","","","ACCEPTABLE","False","45994","","1","","4","0","4","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","660","0.2","33","0","0","0","0","0","0","0.2","33","0","5.39325842696629","0.4","66","5.39325842696629","731.393258426966","731.393258426966","731.393258426966",,,,,
"IPS","ATS","1.7.6","Vacuum Breakers","Circuit Breaker","","","","","ACCEPTABLE","False","45994","","1","","4","0","4","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","660","0.2","33","0","0","0","0","0","0","0.2","33","0","5.39325842696629","0.4","66","5.39325842696629","731.393258426966","731.393258426966","731.393258426966",,,,,
"IPS","ATS","1.8.1","Protective Relays","Protective Relay","","","","Waiting on coordination study.","","False","46000","Waiting on coordination study.","1","","5","0","5","COMPLETED","NOT AVAILABLE","","6","165","61025.625","1","1","46005","Dec-2025","825","0.25","41.25","0","0","0","0","0","0","0.25","41.25","0","6.74157303370786","0.5","82.5","6.74157303370786","914.241573033708","914.241573033708","914.241573033708",,,,,
"IPS","ATS","1.8.2","Protective Relays","Protective Relay","","","","Waiting on coordination study.","","False","","Waiting on coordination study.","0","","5","5","5","","NOT AVAILABLE","","6","165","61025.625","1","0","","","0","0.25","0","0","0","0","0","0","0","0.25","0","0","0","0.5","0","0","0","0","0",,,,,
"IPS","ATS","1.8.3","Protective Relays","Protective Relay","","","","Waiting on coordination study.","","False","","Waiting on coordination study.","0","","5","5","5","","NOT AVAILABLE","","6","165","61025.625","1","0","","","0","0.25","0","0","0","0","0","0","0","0.25","0","0","0","0.5","0","0","0","0","0",,,,,
"IPS","ATS","1.8.4","Protective Relays","Protective Relay","","","","Waiting on coordination study.","","False","","Waiting on coordination study.","0","","5","5","5","","NOT AVAILABLE","","6","165","61025.625","1","0","","","0","0.25","0","0","0","0","0","0","0","0.25","0","0","0","0.5","0","0","0","0","0",,,,,
"IPS","ATS","1.8.5","Protective Relays","Protective Relay","","","","Waiting on coordination study.","","False","","Waiting on coordination study.","0","","5","5","5","","NOT AVAILABLE","","6","165","61025.625","1","0","","","0","0.25","0","0","0","0","0","0","0","0.25","0","0","0","0.5","0","0","0","0","0",,,,,
"IPS","ATS","1.8.6","Protective Relays","Protective Relay","","","","Waiting on coordination study.","","False","","Waiting on coordination study.","0","","5","5","5","","NOT AVAILABLE","","6","165","61025.625","1","0","","","0","0.25","0","0","0","0","0","0","0","0.25","0","0","0","0.5","0","0","0","0","0",,,,,
"IPS","ATS","1.8.7","Protective Relays","Protective Relay","","","","Waiting on coordination study.","","False","","Waiting on coordination study.","0","","5","5","5","","NOT AVAILABLE","","6","165","61025.625","1","0","","","0","0.25","0","0","0","0","0","0","0","0.25","0","0","0","0.5","0","0","0","0","0",,,,,
"IPS","ATS","1.8.8","Protective Relays","PQM","","","","Waiting on coordination study.","","False","","Waiting on coordination study.","0","","2.5","2.5","2.5","","NOT AVAILABLE","","6","165","61025.625","1","0","","","0","0.125","0","0","0","0","0","0","0","0.125","0","0","0","0.25","0","0","0","0","0",,,,,
"IPS","ATS","1.9.1","MV Distribution","Distribution","","","","Some low voltage wiring issues need to be fixed. ","","False","45995","Some low voltage wiring issues need to be fixed. ","1","","2.5","0","2.5","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","412.5","0.125","20.625","0","0","0","0","0","0","0.125","20.625","0","3.37078651685393","0.25","41.25","3.37078651685393","457.120786516854","457.120786516854","457.120786516854",,,,,
"IPS","ATS","1.9.2","MV Distribution","Transformer","","","","","","False","45994","","1","","12","0","12","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","1980","0.6","99","0","0","0","0","0","0","0.6","99","0","16.1797752808989","1.2","198","16.1797752808989","2194.1797752809","2194.1797752809","2194.1797752809",,,,,
"IPS","ATS","1.9.3","MV Distribution","Transformer","","","","","","False","","","1","","1","0","1","COMPLETED","READY","","6","165","61025.625","1","1","","","165","0.05","8.25","0","0","0","0","0","0","0.05","8.25","0","1.34831460674157","0.1","16.5","1.34831460674157","182.848314606742","182.848314606742","182.848314606742",,,,,
"IPS","ATS","1.9.4","MV Distribution","Conductors","","","","Customer stated term guys will be there next week 12.5.2025","","False","","Customer stated term guys will be there next week 12.5.2025","0","","4","4","4","NOT STARTED","NOT AVAILABLE","","6","165","61025.625","1","0","","","0","0.2","0","0","0","0","0","0","0","0.2","0","0","0","0.4","0","0","0","0","0",,,,,
"IPS","ATS","1.9.5","MV Distribution","Conductors","","","","","","False","","","0","","4","4","4","NOT STARTED","NOT AVAILABLE","","6","165","61025.625","1","0","","","0","0.2","0","0","0","0","0","0","0","0.2","0","0","0","0.4","0","0","0","0","0",,,,,
"IPS","ATS","1.9.6","MV Distribution","Conductors","","","","","","False","","","0","","4","4","4","NOT STARTED","NOT AVAILABLE","","6","165","61025.625","1","0","","","0","0.2","0","0","0","0","0","0","0","0.2","0","0","0","0.4","0","0","0","0","0",,,,,
"IPS","ATS","1.9.7","MV Distribution","Conductors","","","","","","False","","","0","","4","4","4","NOT STARTED","NOT AVAILABLE","","6","165","61025.625","1","0","","","0","0.2","0","0","0","0","0","0","0","0.2","0","0","0","0.4","0","0","0","0","0",,,,,
"IPS","ATS","1.9.8","MV Distribution","Conductors","","","","","","False","","","0","","4","4","4","NOT STARTED","NOT AVAILABLE","","6","165","61025.625","1","0","","","0","0.2","0","0","0","0","0","0","0","0.2","0","0","0","0.4","0","0","0","0","0",,,,,
"IPS","ATS","1.9.9","MV Distribution","Circuit Breaker","","","","? Dont see in MV gear over 100A","","False","","? Dont see in MV gear over 100A","0","","3.5","3.5","3.5","","","","6","165","61025.625","1","0","","","0","0.175","0","0","0","0","0","0","0","0.175","0","0","0","0.35","0","0","0","0","0",,,,,
"IPS","ATS","1.10.1","VFD-00-011","Motor Control","","","","Only able to perform partial testing to avoid damaging VFD","","False","","Only able to perform partial testing to avoid damaging VFD","0","","4","4","4","NOT STARTED","READY","","6","165","61025.625","1","0","","","0","0.2","0","0","0","0","0","0","0","0.2","0","0","0","0.4","0","0","0","0","0",,,,,
"IPS","ATS","1.10.2","VFD-00-011","Motor Control","","","","Only able to perform partial testing to avoid damaging VFD","","False","46000","Only able to perform partial testing to avoid damaging VFD","1","","4","0","4","COMPLETED","READY","","6","165","61025.625","1","1","46005","Dec-2025","660","0.2","33","0","0","0","0","0","0","0.2","33","0","5.39325842696629","0.4","66","5.39325842696629","731.393258426966","731.393258426966","731.393258426966",,,,,
"IPS","ATS","1.10.3","VFD-00-011","Switch","","","","Only able to perform partial testing to avoid damaging VFD","","False","46000","Only able to perform partial testing to avoid damaging VFD","1","","2.5","0","2.5","COMPLETED","READY","","6","165","61025.625","1","1","46005","Dec-2025","412.5","0.125","20.625","0","0","0","0","0","0","0.125","20.625","0","3.37078651685393","0.25","41.25","3.37078651685393","457.120786516854","457.120786516854","457.120786516854",,,,,
"IPS","ATS","1.10.4","VFD-00-011","Arresters","","","","","","False","46000","","1","","2","0","2","COMPLETED","READY","","6","165","61025.625","1","1","46005","Dec-2025","330","0.1","16.5","0","0","0","0","0","0","0.1","16.5","0","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",,,,,
"IPS","ATS","1.10.5","VFD-00-011","Instrument Transformers","","","","2 up top and 2 under gear","","False","46000","2 up top and 2 under gear","1","","2.5","0","2.5","COMPLETED","READY","","6","165","61025.625","1","1","46005","Dec-2025","412.5","0.125","20.625","0","0","0","0","0","0","0.125","20.625","0","3.37078651685393","0.25","41.25","3.37078651685393","457.120786516854","457.120786516854","457.120786516854",,,,,
"IPS","ATS","1.10.6","VFD-00-011","Instrument Transformers","","","","","","False","","","1","","2","0","2","COMPLETED","READY","","6","165","61025.625","1","1","","","330","0.1","16.5","0","0","0","0","0","0","0.1","16.5","0","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",,,,,
"IPS","ATS","1.10.7","VFD-00-011","Reactor","","","","","","False","","","0","","2","2","2","NOT STARTED","READY","","6","165","61025.625","1","0","","","0","0.1","0","0","0","0","0","0","0","0.1","0","0","0","0.2","0","0","0","0","0",,,,,
"IPS","ATS","1.10.8","VFD-00-011","Protective Relay","","","","Waiting on coordination study.","","False","","Waiting on coordination study.","0","","8","8","8","NOT STARTED","NOT AVAILABLE","","6","165","61025.625","1","0","","","0","0.4","0","0","0","0","0","0","0","0.4","0","0","0","0.8","0","0","0","0","0",,,,,
"IPS","ATS","1.10.9","VFD-00-011","Transformer","","","","","","False","","","0","","3","3","3","NOT STARTED","READY","","6","165","61025.625","1","0","","","0","0.15","0","0","0","0","0","0","0","0.15","0","0","0","0.3","0","0","0","0","0",,,,,
"IPS","ATS","1.10.10","VFD-00-011","Conductors","","","","Customer stated term guys will be there next week 12.5.2025","","False","","Customer stated term guys will be there next week 12.5.2025","0","","4","4","4","NOT STARTED","NOT AVAILABLE","","6","165","61025.625","1","0","","","0","0.2","0","0","0","0","0","0","0","0.2","0","0","0","0.4","0","0","0","0","0",,,,,
"IPS","ATS","1.11.1","VFD-00-012","Motor Control","","","","Only able to perform partial testing to avoid damaging VFD","","False","","Only able to perform partial testing to avoid damaging VFD","0","","4","4","4","NOT STARTED","READY","","6","165","61025.625","1","0","","","0","0.2","0","0","0","0","0","0","0","0.2","0","0","0","0.4","0","0","0","0","0",,,,,
"IPS","ATS","1.11.2","VFD-00-012","Motor Control","","","","Only able to perform partial testing to avoid damaging VFD","","False","46000","Only able to perform partial testing to avoid damaging VFD","1","","4","0","4","COMPLETED","READY","","6","165","61025.625","1","1","46005","Dec-2025","660","0.2","33","0","0","0","0","0","0","0.2","33","0","5.39325842696629","0.4","66","5.39325842696629","731.393258426966","731.393258426966","731.393258426966",,,,,
"IPS","ATS","1.11.3","VFD-00-012","Switch","","","","Only able to perform partial testing to avoid damaging VFD","","False","46000","Only able to perform partial testing to avoid damaging VFD","1","","2.5","0","2.5","COMPLETED","READY","","6","165","61025.625","1","1","46005","Dec-2025","412.5","0.125","20.625","0","0","0","0","0","0","0.125","20.625","0","3.37078651685393","0.25","41.25","3.37078651685393","457.120786516854","457.120786516854","457.120786516854",,,,,
