"Scope","NETA_Standard","Task_ID","Task","Apparatus","Designation","Drawing","Date Due","Notes","Assessment","DATASHEET","DATE COMPLETED","Notes2","% COMPLETION","TASK DELAYS","Apparatus Hours","Remaining Hours","ACTUAL HOURS","STATUS","AVAILABILITY","PRIORITY","Scope_Helper","Base_Rate","Scope_Budget","Multiplier","Completion","Week_Ending","Billing_Period","Base_Labor_$","Commute_Hrs","Commute_$","PM_Hrs","PM_$","Report_Hrs","Report_$","Travel_Hrs","Travel_$","Final_Hrs","Final_$","Travel_Fixed_$","ME_Fixed_$","Total_Var_Hrs","Total_Var_$","Total_Fixed_$","Subtotal_$","Total_Billable_$","Total_Billable_$2","Column3"
"IPS","ATS","1.2.3","SWGR-00-001","Arresters","","","","","ACCEPTABLE","False","12/3/2025 12:00:00 AM","","1","","2","","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.1","16.5","","","","","","","0.1","16.5","","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",""
"IPS","ATS","1.2.4","SWGR-00-001","Arresters","","","","","ACCEPTABLE","False","12/3/2025 12:00:00 AM","","1","","2","","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.1","16.5","","","","","","","0.1","16.5","","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",""
"IPS","ATS","1.2.5","SWGR-00-001","Arresters","","","","","ACCEPTABLE","False","12/3/2025 12:00:00 AM","","1","","2","","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.1","16.5","","","","","","","0.1","16.5","","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",""
"IPS","ATS","1.2.6","SWGR-00-001","Arresters","","","","","ACCEPTABLE","False","12/3/2025 12:00:00 AM","","1","","2","","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.1","16.5","","","","","","","0.1","16.5","","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",""
"IPS","ATS","1.2.7","SWGR-00-001","Arresters","","","","","ACCEPTABLE","False","12/3/2025 12:00:00 AM","","1","","2","","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.1","16.5","","","","","","","0.1","16.5","","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",""
"IPS","ATS","1.3.1","Instrument Transformers","Instrument Transformers","","","","52M1 CPT failed insulation resistance testing. Manufacturer to replace,","NON-SERVICEABLE","True","12/3/2025 12:00:00 AM","52M1 CPT failed insulation resistance testing. Manufacturer to replace,","1","1","2.5","","3.5","COMPLETED","ON HOLD","","6","165","61025.625","1","1","45998","Dec-2025","","0.125","20.625","","","","","","","0.125","20.625","","3.37078651685393","0.25","41.25","3.37078651685393","457.120786516854","457.120786516854","457.120786516854",""
"IPS","ATS","1.3.2","Instrument Transformers","Instrument Transformers","","","","","ACCEPTABLE","True","12/3/2025 12:00:00 AM","","1","","2.5","","2.5","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.125","20.625","","","","","","","0.125","20.625","","3.37078651685393","0.25","41.25","3.37078651685393","457.120786516854","457.120786516854","457.120786516854",""
"IPS","ATS","1.3.3","Instrument Transformers","Instrument Transformers","","","","","ACCEPTABLE","False","12/3/2025 12:00:00 AM","","1","","2.5","","2.5","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.125","20.625","","","","","","","0.125","20.625","","3.37078651685393","0.25","41.25","3.37078651685393","457.120786516854","457.120786516854","457.120786516854",""
"IPS","ATS","1.3.4","Instrument Transformers","Instrument Transformers","","","","","ACCEPTABLE","False","12/3/2025 12:00:00 AM","","1","","2.5","","2.5","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.125","20.625","","","","","","","0.125","20.625","","3.37078651685393","0.25","41.25","3.37078651685393","457.120786516854","457.120786516854","457.120786516854",""
"IPS","ATS","1.3.5","Instrument Transformers","Instrument Transformers","","","","","ACCEPTABLE","False","12/3/2025 12:00:00 AM","","1","","2.5","","2.5","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.125","20.625","","","","","","","0.125","20.625","","3.37078651685393","0.25","41.25","3.37078651685393","457.120786516854","457.120786516854","457.120786516854",""
"IPS","ATS","1.4.1","Overcurrent CT's","Instrument Transformers","","","","","ACCEPTABLE","False","12/3/2025 12:00:00 AM","","1","","2","","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.1","16.5","","","","","","","0.1","16.5","","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",""
"IPS","ATS","1.4.2","Overcurrent CT's","Instrument Transformers","","","","","ACCEPTABLE","False","12/3/2025 12:00:00 AM","","1","","2","","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.1","16.5","","","","","","","0.1","16.5","","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",""
"IPS","ATS","1.4.3","Overcurrent CT's","Instrument Transformers","","","","","ACCEPTABLE","False","12/3/2025 12:00:00 AM","","1","","2","","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.1","16.5","","","","","","","0.1","16.5","","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",""
"IPS","ATS","1.4.4","Overcurrent CT's","Instrument Transformers","","","","Swapped with Differential CTs.","MINOR DEFICIENCY","False","12/3/2025 12:00:00 AM","Swapped with Differential CTs.","1","","2","","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.1","16.5","","","","","","","0.1","16.5","","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",""
"IPS","ATS","1.4.5","Overcurrent CT's","Instrument Transformers","","","","Print issue on CT 4/5/6. See red lines","ACCEPTABLE","False","12/3/2025 12:00:00 AM","Print issue on CT 4/5/6. See red lines","1","2","2","","4","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.1","16.5","","","","","","","0.1","16.5","","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",""
"IPS","ATS","1.4.6","Overcurrent CT's","Instrument Transformers","","","","Need islet crimps to switch core marker on CT side","ACCEPTABLE","False","12/3/2025 12:00:00 AM","Need islet crimps to switch core marker on CT side","1","","2","","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.1","16.5","","","","","","","0.1","16.5","","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",""
"IPS","ATS","1.5.1","Bus Differential CT's","Instrument Transformers","","","","","ACCEPTABLE","False","12/3/2025 12:00:00 AM","","1","","2","","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.1","16.5","","","","","","","0.1","16.5","","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",""
"IPS","ATS","1.5.2","Bus Differential CT's","Instrument Transformers","","","","","ACCEPTABLE","False","12/3/2025 12:00:00 AM","","1","","2","","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.1","16.5","","","","","","","0.1","16.5","","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",""
"IPS","ATS","1.5.3","Bus Differential CT's","Instrument Transformers","","","","","ACCEPTABLE","False","12/3/2025 12:00:00 AM","","1","","2","","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.1","16.5","","","","","","","0.1","16.5","","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",""
"IPS","ATS","1.5.4","Bus Differential CT's","Instrument Transformers","","","","X1 & X2 need are swapped. Swapped with Protection CTs. ","ACCEPTABLE","False","12/3/2025 12:00:00 AM","X1 & X2 need are swapped. Swapped with Protection CTs. ","1","2","2","","4","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.1","16.5","","","","","","","0.1","16.5","","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",""
"IPS","ATS","1.5.5","Bus Differential CT's","Instrument Transformers","","","","","","False","12/3/2025 12:00:00 AM","","1","","2","","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.1","16.5","","","","","","","0.1","16.5","","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",""
"IPS","ATS","1.5.6","Bus Differential CT's","Instrument Transformers","","","","","","False","12/3/2025 12:00:00 AM","","1","","2","","2","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.1","16.5","","","","","","","0.1","16.5","","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",""
"IPS","ATS","1.6.1","Zero Sequence CT's","Instrument Transformers","","","","","ACCEPTABLE","False","","","1","","0.75","","0.75","COMPLETED","READY","","6","165","61025.625","1","1","","","","0.0375","6.1875","","","","","","","0.0375","6.1875","","1.01123595505618","0.075","12.375","1.01123595505618","137.136235955056","137.136235955056","137.136235955056",""
"IPS","ATS","1.6.2","Zero Sequence CT's","Instrument Transformers","","","","","ACCEPTABLE","False","","","1","","0.75","","0.75","COMPLETED","READY","","6","165","61025.625","1","1","","","","0.0375","6.1875","","","","","","","0.0375","6.1875","","1.01123595505618","0.075","12.375","1.01123595505618","137.136235955056","137.136235955056","137.136235955056",""
"IPS","ATS","1.6.3","Zero Sequence CT's","Instrument Transformers","","","","","ACCEPTABLE","False","","","1","","0.75","","0.75","COMPLETED","READY","","6","165","61025.625","1","1","","","","0.0375","6.1875","","","","","","","0.0375","6.1875","","1.01123595505618","0.075","12.375","1.01123595505618","137.136235955056","137.136235955056","137.136235955056",""
"IPS","ATS","1.6.4","Zero Sequence CT's","Instrument Transformers","","","","Could not test. Impedance too low. Replacement from mfg.","NON-SERVICEABLE","False","12/3/2025 12:00:00 AM","Could not test. Impedance too low. Replacement from mfg.","1","","0.75","","0.75","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.0375","6.1875","","","","","","","0.0375","6.1875","","1.01123595505618","0.075","12.375","1.01123595505618","137.136235955056","137.136235955056","137.136235955056",""
"IPS","ATS","1.6.5","Zero Sequence CT's","Instrument Transformers","","","","X1 and X2 wires were switched. Swap wires and red line drawings.","MINOR DEFICIENCY","False","12/3/2025 12:00:00 AM","X1 and X2 wires were switched. Swap wires and red line drawings.","1","","0.75","","0.75","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.0375","6.1875","","","","","","","0.0375","6.1875","","1.01123595505618","0.075","12.375","1.01123595505618","137.136235955056","137.136235955056","137.136235955056",""
"IPS","ATS","1.6.6","Zero Sequence CT's","Instrument Transformers","","","","X1 and X2 need to be swapped and relabled at CT.","MINOR DEFICIENCY","False","12/3/2025 12:00:00 AM","X1 and X2 need to be swapped and relabled at CT.","1","","0.75","","0.75","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.0375","6.1875","","","","","","","0.0375","6.1875","","1.01123595505618","0.075","12.375","1.01123595505618","137.136235955056","137.136235955056","137.136235955056",""
"IPS","ATS","1.7.1","Vacuum Breakers","Circuit Breaker","","","","","ACCEPTABLE","False","12/3/2025 12:00:00 AM","","1","","4","","4","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.2","33","","","","","","","0.2","33","","5.39325842696629","0.4","66","5.39325842696629","731.393258426966","731.393258426966","731.393258426966",""
"IPS","ATS","1.7.2","Vacuum Breakers","Circuit Breaker","","","","","ACCEPTABLE","False","12/3/2025 12:00:00 AM","","1","","4","","4","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.2","33","","","","","","","0.2","33","","5.39325842696629","0.4","66","5.39325842696629","731.393258426966","731.393258426966","731.393258426966",""
"IPS","ATS","1.7.3","Vacuum Breakers","Circuit Breaker","","","","","ACCEPTABLE","False","12/3/2025 12:00:00 AM","","1","","4","","4","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.2","33","","","","","","","0.2","33","","5.39325842696629","0.4","66","5.39325842696629","731.393258426966","731.393258426966","731.393258426966",""
"IPS","ATS","1.7.4","Vacuum Breakers","Circuit Breaker","","","","","ACCEPTABLE","False","12/3/2025 12:00:00 AM","","1","","4","","4","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.2","33","","","","","","","0.2","33","","5.39325842696629","0.4","66","5.39325842696629","731.393258426966","731.393258426966","731.393258426966",""
"IPS","ATS","1.7.5","Vacuum Breakers","Circuit Breaker","","","","","ACCEPTABLE","False","12/3/2025 12:00:00 AM","","1","","4","","4","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.2","33","","","","","","","0.2","33","","5.39325842696629","0.4","66","5.39325842696629","731.393258426966","731.393258426966","731.393258426966",""
"IPS","ATS","1.7.6","Vacuum Breakers","Circuit Breaker","","","","","ACCEPTABLE","False","12/3/2025 12:00:00 AM","","1","","4","","4","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.2","33","","","","","","","0.2","33","","5.39325842696629","0.4","66","5.39325842696629","731.393258426966","731.393258426966","731.393258426966",""
"IPS","ATS","1.8.1","Protective Relays","Protective Relay","","","","Waiting on coordination study.","","False","12/9/2025 12:00:00 AM","Waiting on coordination study.","1","","5","","5","COMPLETED","NOT AVAILABLE","","6","165","61025.625","1","1","46005","Dec-2025","","0.25","41.25","","","","","","","0.25","41.25","","6.74157303370786","0.5","82.5","6.74157303370786","914.241573033708","914.241573033708","914.241573033708",""
"IPS","ATS","1.8.2","Protective Relays","Protective Relay","","","","Waiting on coordination study.","","False","","Waiting on coordination study.","","","5","5","5","","NOT AVAILABLE","","6","165","61025.625","1","0","","","","0.25","0","","","","","","","0.25","","","","0.5","","","","","",""
"IPS","ATS","1.8.3","Protective Relays","Protective Relay","","","","Waiting on coordination study.","","False","","Waiting on coordination study.","","","5","5","5","","NOT AVAILABLE","","6","165","61025.625","1","0","","","","0.25","0","","","","","","","0.25","","","","0.5","","","","","",""
"IPS","ATS","1.8.4","Protective Relays","Protective Relay","","","","Waiting on coordination study.","","False","","Waiting on coordination study.","","","5","5","5","","NOT AVAILABLE","","6","165","61025.625","1","0","","","","0.25","0","","","","","","","0.25","","","","0.5","","","","","",""
"IPS","ATS","1.8.5","Protective Relays","Protective Relay","","","","Waiting on coordination study.","","False","","Waiting on coordination study.","","","5","5","5","","NOT AVAILABLE","","6","165","61025.625","1","0","","","","0.25","0","","","","","","","0.25","","","","0.5","","","","","",""
"IPS","ATS","1.8.6","Protective Relays","Protective Relay","","","","Waiting on coordination study.","","False","","Waiting on coordination study.","","","5","5","5","","NOT AVAILABLE","","6","165","61025.625","1","0","","","","0.25","0","","","","","","","0.25","","","","0.5","","","","","",""
"IPS","ATS","1.8.7","Protective Relays","Protective Relay","","","","Waiting on coordination study.","","False","","Waiting on coordination study.","","","5","5","5","","NOT AVAILABLE","","6","165","61025.625","1","0","","","","0.25","0","","","","","","","0.25","","","","0.5","","","","","",""
"IPS","ATS","1.8.8","Protective Relays","PQM","","","","Waiting on coordination study.","","False","","Waiting on coordination study.","","","2.5","2.5","2.5","","NOT AVAILABLE","","6","165","61025.625","1","0","","","","0.125","0","","","","","","","0.125","","","","0.25","","","","","",""
"IPS","ATS","1.9.1","MV Distribution","Distribution","","","","Some low voltage wiring issues need to be fixed. ","","False","12/4/2025 12:00:00 AM","Some low voltage wiring issues need to be fixed. ","1","","2.5","","2.5","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.125","20.625","","","","","","","0.125","20.625","","3.37078651685393","0.25","41.25","3.37078651685393","457.120786516854","457.120786516854","457.120786516854",""
"IPS","ATS","1.9.2","MV Distribution","Transformer","","","","","","False","12/3/2025 12:00:00 AM","","1","","12","","12","COMPLETED","READY","","6","165","61025.625","1","1","45998","Dec-2025","","0.6","99","","","","","","","0.6","99","","16.1797752808989","1.2","198","16.1797752808989","2194.1797752809","2194.1797752809","2194.1797752809",""
"IPS","ATS","1.9.3","MV Distribution","Transformer","","","","","","False","","","1","","1","","1","COMPLETED","READY","","6","165","61025.625","1","1","","","","0.05","8.25","","","","","","","0.05","8.25","","1.34831460674157","0.1","16.5","1.34831460674157","182.848314606742","182.848314606742","182.848314606742",""
"IPS","ATS","1.9.4","MV Distribution","Conductors","","","","Customer stated term guys will be there next week 12.5.2025","","False","","Customer stated term guys will be there next week 12.5.2025","","","4","4","4","NOT STARTED","NOT AVAILABLE","","6","165","61025.625","1","0","","","","0.2","0","","","","","","","0.2","","","","0.4","","","","","",""
"IPS","ATS","1.9.5","MV Distribution","Conductors","","","","","","False","","","","","4","4","4","NOT STARTED","NOT AVAILABLE","","6","165","61025.625","1","0","","","","0.2","0","","","","","","","0.2","","","","0.4","","","","","",""
"IPS","ATS","1.9.6","MV Distribution","Conductors","","","","","","False","","","","","4","4","4","NOT STARTED","NOT AVAILABLE","","6","165","61025.625","1","0","","","","0.2","0","","","","","","","0.2","","","","0.4","","","","","",""
"IPS","ATS","1.9.7","MV Distribution","Conductors","","","","","","False","","","","","4","4","4","NOT STARTED","NOT AVAILABLE","","6","165","61025.625","1","0","","","","0.2","0","","","","","","","0.2","","","","0.4","","","","","",""
"IPS","ATS","1.9.8","MV Distribution","Conductors","","","","","","False","","","","","4","4","4","NOT STARTED","NOT AVAILABLE","","6","165","61025.625","1","0","","","","0.2","0","","","","","","","0.2","","","","0.4","","","","","",""
"IPS","ATS","1.9.9","MV Distribution","Circuit Breaker","","","","? Dont see in MV gear over 100A","","False","","? Dont see in MV gear over 100A","","","3.5","3.5","3.5","","","","6","165","61025.625","1","0","","","","0.175","0","","","","","","","0.175","","","","0.35","","","","","",""
"IPS","ATS","1.10.1","VFD-00-011","Motor Control","","","","Only able to perform partial testing to avoid damaging VFD","","False","","Only able to perform partial testing to avoid damaging VFD","","","4","4","4","NOT STARTED","READY","","6","165","61025.625","1","0","","","","0.2","0","","","","","","","0.2","","","","0.4","","","","","",""
"IPS","ATS","1.10.2","VFD-00-011","Motor Control","","","","Only able to perform partial testing to avoid damaging VFD","","False","12/9/2025 12:00:00 AM","Only able to perform partial testing to avoid damaging VFD","1","","4","","4","COMPLETED","READY","","6","165","61025.625","1","1","46005","Dec-2025","","0.2","33","","","","","","","0.2","33","","5.39325842696629","0.4","66","5.39325842696629","731.393258426966","731.393258426966","731.393258426966",""
"IPS","ATS","1.10.3","VFD-00-011","Switch","","","","Only able to perform partial testing to avoid damaging VFD","","False","12/9/2025 12:00:00 AM","Only able to perform partial testing to avoid damaging VFD","1","","2.5","","2.5","COMPLETED","READY","","6","165","61025.625","1","1","46005","Dec-2025","","0.125","20.625","","","","","","","0.125","20.625","","3.37078651685393","0.25","41.25","3.37078651685393","457.120786516854","457.120786516854","457.120786516854",""
"IPS","ATS","1.10.4","VFD-00-011","Arresters","","","","","","False","12/9/2025 12:00:00 AM","","1","","2","","2","COMPLETED","READY","","6","165","61025.625","1","1","46005","Dec-2025","","0.1","16.5","","","","","","","0.1","16.5","","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",""
"IPS","ATS","1.10.5","VFD-00-011","Instrument Transformers","","","","2 up top and 2 under gear","","False","12/9/2025 12:00:00 AM","2 up top and 2 under gear","1","","2.5","","2.5","COMPLETED","READY","","6","165","61025.625","1","1","46005","Dec-2025","","0.125","20.625","","","","","","","0.125","20.625","","3.37078651685393","0.25","41.25","3.37078651685393","457.120786516854","457.120786516854","457.120786516854",""
"IPS","ATS","1.10.6","VFD-00-011","Instrument Transformers","","","","","","False","","","1","","2","","2","COMPLETED","READY","","6","165","61025.625","1","1","","","","0.1","16.5","","","","","","","0.1","16.5","","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",""
"IPS","ATS","1.10.7","VFD-00-011","Reactor","","","","","","False","","","","","2","2","2","NOT STARTED","READY","","6","165","61025.625","1","0","","","","0.1","0","","","","","","","0.1","","","","0.2","","","","","",""
"IPS","ATS","1.10.8","VFD-00-011","Protective Relay","","","","Waiting on coordination study.","","False","","Waiting on coordination study.","","","8","8","8","NOT STARTED","NOT AVAILABLE","","6","165","61025.625","1","0","","","","0.4","0","","","","","","","0.4","","","","0.8","","","","","",""
"IPS","ATS","1.10.9","VFD-00-011","Transformer","","","","","","False","","","","","3","3","3","NOT STARTED","READY","","6","165","61025.625","1","0","","","","0.15","0","","","","","","","0.15","","","","0.3","","","","","",""
"IPS","ATS","1.10.10","VFD-00-011","Conductors","","","","Customer stated term guys will be there next week 12.5.2025","","False","","Customer stated term guys will be there next week 12.5.2025","","","4","4","4","NOT STARTED","NOT AVAILABLE","","6","165","61025.625","1","0","","","","0.2","0","","","","","","","0.2","","","","0.4","","","","","",""
"IPS","ATS","1.11.1","VFD-00-012","Motor Control","","","","Only able to perform partial testing to avoid damaging VFD","","False","","Only able to perform partial testing to avoid damaging VFD","","","4","4","4","NOT STARTED","READY","","6","165","61025.625","1","0","","","","0.2","0","","","","","","","0.2","","","","0.4","","","","","",""
"IPS","ATS","1.11.2","VFD-00-012","Motor Control","","","","Only able to perform partial testing to avoid damaging VFD","","False","12/9/2025 12:00:00 AM","Only able to perform partial testing to avoid damaging VFD","1","","4","","4","COMPLETED","READY","","6","165","61025.625","1","1","46005","Dec-2025","","0.2","33","","","","","","","0.2","33","","5.39325842696629","0.4","66","5.39325842696629","731.393258426966","731.393258426966","731.393258426966",""
"IPS","ATS","1.11.3","VFD-00-012","Switch","","","","Only able to perform partial testing to avoid damaging VFD","","False","12/9/2025 12:00:00 AM","Only able to perform partial testing to avoid damaging VFD","1","","2.5","","2.5","COMPLETED","READY","","6","165","61025.625","1","1","46005","Dec-2025","","0.125","20.625","","","","","","","0.125","20.625","","3.37078651685393","0.25","41.25","3.37078651685393","457.120786516854","457.120786516854","457.120786516854",""
"IPS","ATS","1.11.4","VFD-00-012","Arresters","","","","","","False","12/9/2025 12:00:00 AM","","1","","2","","2","COMPLETED","READY","","6","165","61025.625","1","1","46005","Dec-2025","","0.1","16.5","","","","","","","0.1","16.5","","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",""
"IPS","ATS","1.11.5","VFD-00-012","Instrument Transformers","","","","2 up top and 2 under gear","","False","12/9/2025 12:00:00 AM","2 up top and 2 under gear","1","","2.5","","2.5","COMPLETED","READY","","6","165","61025.625","1","1","46005","Dec-2025","","0.125","20.625","","","","","","","0.125","20.625","","3.37078651685393","0.25","41.25","3.37078651685393","457.120786516854","457.120786516854","457.120786516854",""
"IPS","ATS","1.11.6","VFD-00-012","Instrument Transformers","","","","","","False","","","1","","2","","2","COMPLETED","READY","","6","165","61025.625","1","1","","","","0.1","16.5","","","","","","","0.1","16.5","","2.69662921348315","0.2","33","2.69662921348315","365.696629213483","365.696629213483","365.696629213483",""
